state,year,t_jan,t_feb,t_mar,t_apr,t_may,t_jun,t_jul,t_aug,t_sep,t_oct,t_nov,t_dec
IL,2009,20.6,32.5,43.6,51.4,62.8,72.7,70.3,70.9,65.9,50.1,47.2,29.1
IL,2010,21.5,25.7,43.8,58.7,64.3,74.9,77.6,76.8,67.2,56.5,43.7,24.0
IL,2011,22.7,30.2,41.6,53.1,62.1,72.9,79.9,74.8,63.6,55.2,45.8,35.9
IL,2012,31.9,35.8,55.5,54.6,68.1,72.6,81.8,73.6,64.9,52.5,41.2,36.8
IL,2013,29.2,29.9,34.3,50.2,63.9,71.5,73.1,72.8,68.6,54.5,38.8,26.2
IL,2014,19.3,19.4,34.4,52.4,63.7,73.0,70.3,73.8,64.7,54.3,34.6,33.9
IL,2015,25.7,19.4,38.3,54.3,64.9,71.7,74.2,71.8,70.4,56.0,46.6,41.1
IL,2016,26.9,33.8,47.3,53.0,62.0,74.8,75.6,75.7,70.8,59.9,48.1,28.9
IL,2017,32.1,41.1,43.2,56.5,61.9,72.7,76.1,70.5,68.8,58.1,41.9,29.8
IL,2018,24.1,31.8,39.2,44.8,70.7,74.9,75.0,74.7,70.3,54.2,35.6,34.4
IL,2019,25.4,29.3,37.3,52.5,62.5,70.9,77.4,72.8,71.6,53.7,36.2,35.6
IL,2020,31.8,31.9,44.4,49.6,60.6,73.6,77.3,72.8,65.6,52.0,47.1,33.0
IL,2021,29.5,20.8,46.2,52.5,61.1,74.1,74.6,75.5,69.6,60.2,40.9,40.2
IL,2022,22.2,28.0,43.1,49.6,65.3,73.5,75.8,73.6,67.0,53.3,43.0,30.3
IL,2023,34.4,36.3,40.9,53.4,64.2,71.5,75.3,73.5,68.3,56.6,42.9,39.6
IL,2024,26.5,40.7,46.8,54.7,67.0,74.5,74.0,73.7,68.8,58.7,46.6,34.0
IN,1988,24.0,26.8,40.3,50.6,63.1,72.1,76.4,76.2,65.5,47.1,42.6,30.7
IN,1989,34.7,26.2,40.7,50.0,58.1,70.1,74.5,71.5,63.2,54.3,40.7,18.2
IN,1990,36.6,36.6,44.4,50.3,58.6,70.3,72.8,70.8,66.3,52.7,46.6,33.5
IN,1991,26.3,34.2,43.2,54.8,68.3,73.9,75.6,73.4,65.4,56.3,38.7,34.4
IN,1992,30.4,37.0,41.1,50.3,59.6,66.6,72.5,67.9,63.7,52.2,42.1,32.0
IN,1993,30.3,26.4,37.0,49.2,62.2,69.4,76.2,73.7,61.5,51.1,41.0,31.3
IN,1994,20.2,27.9,39.6,52.8,58.4,72.8,73.4,69.5,64.3,55.1,46.9,37.0
IN,1995,28.1,29.3,43.4,50.4,60.1,71.6,75.2,77.9,63.2,55.1,36.3,27.3
IN,1996,25.2,30.4,34.1,48.1,60.8,70.8,71.5,72.7,63.9,54.4,35.7,33.0
