state_code,division,year,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
1,0,1952,52.0,3.96,4.3,6.59,2.95,5.3,2.07,2.23,6.28,3.21,1.21,2.67
1,0,1953,53.0,5.47,7.48,3.7,7.72,4.49,3.71,5.94,2.61,4.77,0.56,2.62
1,0,1954,54.0,4.2,3.12,3.7,3.57,2.36,2.24,3.91,1.85,1.16,1.53,3.05
1,0,1955,55.0,4.43,5.46,3.25,7.39,5.68,3.12,7.17,3.07,0.93,2.45,3.17
1,0,1956,56.0,2.68,7.89,6.87,4.62,2.6,4.26,5.55,2.88,4.7,3.7,1.78
1,0,1957,57.0,4.59,3.71,4.24,7.15,5.13,5.85,3.0,2.28,8.95,2.37,8.07
1,0,1958,58.0,3.31,4.33,5.69,5.12,2.92,4.86,8.32,3.0,5.19,1.41,3.0
1,0,1959,59.0,4.53,4.84,5.99,4.1,6.1,4.23,4.61,3.7,5.14,6.86,2.64
1,0,1960,60.0,5.88,4.37,6.91,3.86,3.49,2.99,4.33,5.7,5.34,3.38,2.17
1,0,1961,61.0,3.31,12.03,9.17,4.95,3.2,6.72,4.99,5.03,2.76,0.96,4.5
1,0,1962,62.0,7.03,4.86,5.47,6.11,1.06,4.88,4.25,2.74,3.37,2.6,4.76
1,0,1963,63.0,6.25,3.29,5.13,4.1,3.26,5.92,5.93,2.72,3.04,0.03,4.31
1,0,1964,64.0,6.8,4.54,8.17,11.5,2.67,3.42,7.29,4.7,3.53,4.85,3.79
1,0,1965,65.0,4.21,6.28,6.81,2.54,1.18,5.6,5.94,4.38,3.98,2.86,1.83
1,0,1966,66.0,5.96,8.59,4.01,4.46,4.9,2.41,4.04,4.97,4.3,4.08,3.35
1,0,1967,67.0,3.73,4.75,1.92,2.31,5.59,4.4,6.91,6.76,3.36,4.01,3.76
1,0,1968,68.0,4.62,1.87,3.65,5.05,4.01,1.85,5.26,3.69,2.73,1.37,4.31
1,0,1969,69.0,3.59,4.25,5.12,5.43,5.99,2.43,5.46,4.96,4.42,2.58,1.9
1,0,1970,70.0,3.19,3.75,7.73,4.74,3.17,5.91,4.05,6.24,1.86,6.33,2.2
1,0,1971,71.0,4.08,7.78,8.79,4.04,4.07,3.74,7.41,4.05,4.81,1.09,2.49
1,0,1972,72.0,8.52,3.56,5.93,2.39,4.44,4.57,4.51,2.42,3.78,2.95,4.66
