year,yield_bu_acre,yield_t_ha,trend,jun_shortfall,temp_JA,prec_JA,prec_JA_sq,dummy_2003,harvest_total_acres,harvest_total_ha
1988,26.380000000000003,1.7740832100245856,1,2.862571873654348,75.84029990627928,3.3216330834114336,11.033246340813347,0,42680000.0,17271983.2108032
1989,32.4,2.1789346476420226,2,0.0,73.301967176259,3.7245503597122296,13.872275382032498,0,44480000.0,18000417.3668352
1990,33.0,2.219285289265023,3,0.0,72.47069536423841,4.122845316934721,16.99785350737056,0,42280000.0,17110108.9539072
1991,32.7,2.199109968453523,4,1.4918880506089032,73.98102376193648,2.7161236953142343,7.3773279282474515,0,45030000.0,18222994.4700672
1992,36.58,2.4600441176155923,5,1.141883472446001,68.87662483191394,5.046986777229943,25.472075529533885,0,44620000.0,18057073.356748797
1993,33.36,2.2434956742388237,6,0.0,73.4052346985734,6.130561435803038,37.58378351815541,0,43460000.0,17587638.011750396
1994,39.839999999999996,2.679282603767228,7,0.0,70.97793899597542,3.5427748358398645,12.551253537460179,0,47210000.0,19105209.1701504
1995,35.92,2.415658411830292,8,0.24226918675681205,75.62015749642055,3.59825935774187,12.947470405576935,0,48890000.0,19785081.049113598
1996,36.9,2.481564459814526,9,0.0,71.54861704291233,3.3775350823672965,11.40774323262186,0,49170000.0,19898393.0289408
1997,39.14,2.632206855207061,10,0.0,71.9944506936633,3.336871016122984,11.134708178241636,0,53340000.0,21585932.1570816
1998,39.260000000000005,2.6402769835316615,11,0.0,73.95677981484843,3.7787756398620442,14.279145336414802,0,55090000.0,22294132.031001598
1999,37.480000000000004,2.5205700800500934,12,0.16489309152494527,74.18085291557874,3.178311575282854,10.101664469576978,0,57450000.0,23249190.146688003
2000,39.0,2.6227917054950276,13,0.0,73.38151700087184,3.447648648648648,11.88628120452885,0,57350000.0,23208721.582464
2001,39.02,2.6241367268824614,14,0.0,74.4632455990429,3.567472226969749,12.726858090200501,0,58510000.0,23678156.927462395
2002,37.2,2.5017397806260266,15,0.34020160194856913,75.0633622183709,3.589337088388215,12.883340734079189,0,57700000.0,23350361.557247996
2003,35.5,2.387412962694192,16,0.0,74.3914539693716,3.2093046998767827,10.299636656651206,1,56810000.0,22990191.335654397
2004,40.88,2.7492237159137622,17,0.0,69.53734502302515,4.2992171448813306,18.48326805884158,0,56460000.0,22848551.3608704
2005,41.14,2.7667089939503957,18,0.19664444172679466,74.37427149321267,3.5181692307692307,12.37751473633136,0,55250000.0,22358881.73376
2006,42.019999999999996,2.8258899349974627,19,0.44253281586729987,74.91862271315154,3.8513772868484644,14.833107005652238,0,57940000.0,23447486.1113856
2007,41.46,2.7882293361493296,20,0.0,74.68145930586564,4.018453419930992,16.147967888155087,0,49270000.0,19938861.593164798
2008,39.8,2.6765925609923613,21,0.0,72.32082055906221,3.453834084761045,11.928969885057166,0,55450000.0,22439818.862208
2009,42.739999999999995,2.874310704945063,22,0.0,69.15985430202795,4.164622957275054,17.34408437626242,0,50790000.0,20553983.7693696
2010,44.1,2.9657721592905313,23,0.0,75.02681357254288,4.367990444617784,19.07934052427227,0,51280000.0,20752279.7340672
2011,41.6,2.7976444858613627,24,0.0,75.54534068136272,3.277011022044088,10.738801238598437,0,49900000.0,20193813.547776
2012,37.7,2.5353653153118603,25,1.8567321903212786,75.70006756016508,2.3415396413833403,5.482807892169622,0,273830000.0,110815069.41457918
2013,42.7,2.871620662170197,26,0.0,72.15401694733453,2.611440791590689,6.819623007983805,0,186460000.0,75457684.8520704
2014,46.82,3.1486950679814663,27,0.0,70.7918382823823,3.8757570191108575,15.021492471187079,0,296690000.0,120066183.19618557
2015,47.5,3.1944257951542,28,0.0,71.43054143495617,4.389355020299546,19.26643749422883,0,293110000.0,118617408.5969664
2016,51.06,3.4338396021173363,29,0.0,73.72769631912227,5.584179844908739,31.18306454028499,0,295310000.0,119507717.0098944
2017,49.519999999999996,3.330272955284968,30,0.26452253408179627,71.72854210104248,3.8050075380914183,14.478082364932517,0,311750000.0,126160748.96832001
2018,52.04,3.4997456501015702,31,0.0,73.17258647976486,4.169136332805787,17.381697761521288,0,309610000.0,125294721.6939264
2019,47.519999999999996,3.1957708165416334,32,0.0,73.16309454119713,3.9572797453534316,15.66006298298452,0,273320000.0,110608679.7370368
2020,51.760000000000005,3.4809153506775035,33,0.0,73.9703522538717,3.509577226216815,12.317132306779712,0,289280000.0,117067462.58718719
2021,51.0,3.429804537955036,34,0.38071346475923057,73.92137297477869,3.969305495239686,15.755386114539968,0,299350000.0,121142647.00454399
2022,50.4,3.3894538963320358,35,0.4514735833350325,73.77493521828976,3.8386087512710336,14.734917145334563,0,304870000.0,123376511.74970879
2023,50.22,3.3773487038451355,36,1.023104961533592,72.745083011849,3.8517044984844317,14.835627543645208,0,290320000.0,117488335.65511678
2024,52.38000000000001,3.522611013687938,37,0.0,72.6748662744049,3.8486356646162077,14.81199647895584,0,299120000.0,121049569.3068288
